,Unnamed: 0,name,year,runtime,genre,rating,metascore,timeline,votes,gross
524,524,Mulholland Dr.,2001,147,"Drama, Mystery, Thriller",7.9,85.0,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","328,373",$7.22M
525,525,Shrek,2001,90,"Animation, Adventure, Comedy",7.9,84.0,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","624,604",$267.67M
526,526,Toy Story 2,1999,92,"Animation, Adventure, Comedy",7.9,88.0,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","535,668",$245.85M
528,528,Boogie Nights,1997,155,Drama,7.9,85.0,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.","243,608",$26.40M
530,530,Once Were Warriors,1994,102,"Crime, Drama",7.9,77.0,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,"31,945",$2.20M
531,531,True Romance,1993,119,"Crime, Drama, Romance",7.9,59.0,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.","210,256",$12.28M
532,532,Three Colors: Blue,1993,94,"Drama, Music, Mystery",7.9,85.0,A woman struggles to find a way to live her life after the death of her husband and child.,"92,312",$1.32M
534,534,Carlito's Way,1993,144,"Crime, Drama, Thriller",7.9,65.0,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","204,406",$36.95M
535,535,Edward Scissorhands,1990,105,"Drama, Fantasy, Romance",7.9,74.0,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.","453,137",$56.36M
536,536,My Left Foot,1989,103,"Biography, Drama",7.9,97.0,"
Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.","69,541",$14.74M
537,537,Crimes and Misdemeanors,1989,104,"Comedy, Drama",7.9,77.0,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,"55,465",$18.25M
538,538,The Untouchables,1987,119,"Crime, Drama, Thriller",7.9,79.0,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.","287,105",$76.27M
539,539,Hannah and Her Sisters,1986,107,"Comedy, Drama",7.9,90.0,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.","68,150",$40.08M
540,540,Brazil,1985,132,"Drama, Sci-Fi",7.9,84.0,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"190,152",$9.93M
541,541,This Is Spinal Tap,1984,82,"Comedy, Music",7.9,92.0,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.","130,851",$0.19M
